mag,mapped_reads,mag_length,total_decon_sample_reads,sample_id,rpkm
samp_4344,225,4351921,47993116,samp_1297,1.0772650427369717e-6
samp_4380,2642,4773271,47993116,samp_1297,1.1532880008553023e-5
samp_468,240,4238051,47993116,samp_1297,1.1799568212345215e-6
samp_471,206,4577490,47993116,samp_1297,9.37693419642548e-7
samp_477,276,4344744,47993116,samp_1297,1.3236279891561517e-6
samp_481,566,3602070,47993116,samp_1297,3.274050207454115e-6
samp_507,314,3568765,47993116,samp_1297,1.8332966685295812e-6
samp_2059,7710,3786874,45596980,samp_1298,4.465164298639683e-5
samp_2073,4999,4337595,45596980,samp_1298,2.527540119830461e-5
samp_3937,14526,4108029,45596980,samp_1298,7.754904605159812e-5
samp_4305,5368,3905470,45596980,samp_1298,3.01441555264613e-5
samp_4344,15906,4351921,45596980,samp_1298,8.015745056041459e-5
samp_4380,18562,4773271,45596980,samp_1298,8.528498888613759e-5
samp_468,5114,4238051,45596980,samp_1298,2.6464181464293183e-5
samp_471,5051,4577490,45596980,samp_1298,2.4199917480145903e-5
samp_477,8199,4344744,45596980,samp_1298,4.138668247172772e-5
samp_481,751,3602070,45596980,samp_1298,4.5724788934406336e-6
samp_507,20493,3568765,45596980,samp_1298,1.2593646825322945e-4
samp_2059,3390,3786874,45444728,samp_1299,1.9698598782679483e-5
samp_2073,203,4337595,45444728,samp_1299,1.0298252356256948e-6
samp_3937,248,4108029,45444728,samp_1299,1.3284177553947182e-6
samp_4305,154,3905470,45444728,samp_1299,8.676886295050926e-7
samp_4344,250,4351921,45444728,samp_1299,1.2640827277483695e-6
samp_4380,1107,4773271,45444728,samp_1299,5.103263822790142e-6
samp_468,357,4238051,45444728,samp_1299,1.853610705675106e-6
samp_471,358,4577490,45444728,samp_1299,1.720965301392595e-6
samp_477,317,4344744,45444728,samp_1299,1.6055046276183411e-6
samp_481,870,3602070,45444728,samp_1299,5.314759243106446e-6
samp_507,357,3568765,45444728,samp_1299,2.201236759718583e-6
samp_2059,8818,3786874,43715340,samp_1300,5.3266649320561384e-5
samp_2073,2747,4337595,43715340,samp_1300,1.4486911241784405e-5
samp_3937,7874,4108029,43715340,samp_1300,4.38458051147721e-5
samp_4305,4650,3905470,43715340,samp_1300,2.7236154323521903e-5
samp_4344,9332,4351921,43715340,samp_1300,4.905235544056031e-5
samp_4380,11710,4773271,43715340,samp_1300,5.6118614806254105e-5
samp_468,25317,4238051,43715340,samp_1300,1.3665080752827858e-4
samp_471,5185,4577490,43715340,samp_1300,2.591119818048447e-5
samp_477,4866,4344744,43715340,samp_1300,2.5619700707290737e-5
samp_481,661,3602070,43715340,samp_1300,4.197739177912369e-6
